missing_evidence_action_id,evidence_presence_row_id,source_id,source_type,rights_status,pipeline_gap_status,review_lanes,phase_names,missing_file_role,file_to_open,join_strategy,missing_reason,action_type,action_priority,action_status,evidence_presence_matrix_path,file_checklist_path,source_summary_path,source_gap_summary_path,route_ids,result_scaffold_ids,action_ids,review_status,rights_decision_status,source_promotion_status,corpus_import_status,decipherment_claim_status,research_boundary,caution,updated_at
source-pipeline-phase-action-missing-evidence-011,source-pipeline-phase-action-evidence-presence-057,src-ihp-museum-oracle-bones,museum_collection,metadata_only_until_verified,needs_field_map_review,field_map_semantics_review,linked;unpacked;verified,source_field_map,corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv,source_id,no_source_matched_rows_in_review_file,review_or_create_source_field_map_row,field_map_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-015;source-pipeline-phase-action-route-016;source-pipeline-phase-action-route-017,source-pipeline-phase-action-result-scaffold-015;source-pipeline-phase-action-result-scaffold-016;source-pipeline-phase-action-result-scaffold-017,source-pipeline-phase-action-015;source-pipeline-phase-action-016;source-pipeline-phase-action-017,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-012,source-pipeline-phase-action-evidence-presence-058,src-ihp-museum-oracle-bones,museum_collection,metadata_only_until_verified,needs_field_map_review,field_map_semantics_review,linked;unpacked;verified,source_package_file_manifest,corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,source_id,no_source_matched_rows_in_review_file,review_package_manifest_applicability_or_create_row,package_manifest_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-015;source-pipeline-phase-action-route-016;source-pipeline-phase-action-route-017,source-pipeline-phase-action-result-scaffold-015;source-pipeline-phase-action-result-scaffold-016;source-pipeline-phase-action-result-scaffold-017,source-pipeline-phase-action-015;source-pipeline-phase-action-016;source-pipeline-phase-action-017,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-013,source-pipeline-phase-action-evidence-presence-069,src-ihp-oracle-rubbings,online_database,metadata_only_until_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,cleaned;extracted;linked;structured;unpacked;verified,downloaded_metadata_profile,corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,source_id,no_source_matched_rows_in_review_file,review_downloaded_metadata_profile_or_mark_not_applicable,metadata_profile_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-018;source-pipeline-phase-action-route-019;source-pipeline-phase-action-route-020;source-pipeline-phase-action-route-021;source-pipeline-phase-action-route-022;source-pipeline-phase-action-route-023,source-pipeline-phase-action-result-scaffold-018;source-pipeline-phase-action-result-scaffold-019;source-pipeline-phase-action-result-scaffold-020;source-pipeline-phase-action-result-scaffold-021;source-pipeline-phase-action-result-scaffold-022;source-pipeline-phase-action-result-scaffold-023,source-pipeline-phase-action-018;source-pipeline-phase-action-019;source-pipeline-phase-action-020;source-pipeline-phase-action-021;source-pipeline-phase-action-022;source-pipeline-phase-action-023,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-014,source-pipeline-phase-action-evidence-presence-070,src-ihp-oracle-rubbings,online_database,metadata_only_until_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,cleaned;extracted;linked;structured;unpacked;verified,large_source_register,project_registry/006_large-source-register/001_large-source-register.csv,source_package_id_via_package_manifest,no_source_matched_rows_in_review_file,review_large_source_register_applicability_or_mark_not_applicable,large_source_register_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-018;source-pipeline-phase-action-route-019;source-pipeline-phase-action-route-020;source-pipeline-phase-action-route-021;source-pipeline-phase-action-route-022;source-pipeline-phase-action-route-023,source-pipeline-phase-action-result-scaffold-018;source-pipeline-phase-action-result-scaffold-019;source-pipeline-phase-action-result-scaffold-020;source-pipeline-phase-action-result-scaffold-021;source-pipeline-phase-action-result-scaffold-022;source-pipeline-phase-action-result-scaffold-023,source-pipeline-phase-action-018;source-pipeline-phase-action-019;source-pipeline-phase-action-020;source-pipeline-phase-action-021;source-pipeline-phase-action-022;source-pipeline-phase-action-023,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-015,source-pipeline-phase-action-evidence-presence-068,src-ihp-oracle-rubbings,online_database,metadata_only_until_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,cleaned;extracted;linked;structured;unpacked;verified,source_package_file_manifest,corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,source_id,no_source_matched_rows_in_review_file,review_package_manifest_applicability_or_create_row,package_manifest_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-018;source-pipeline-phase-action-route-019;source-pipeline-phase-action-route-020;source-pipeline-phase-action-route-021;source-pipeline-phase-action-route-022;source-pipeline-phase-action-route-023,source-pipeline-phase-action-result-scaffold-018;source-pipeline-phase-action-result-scaffold-019;source-pipeline-phase-action-result-scaffold-020;source-pipeline-phase-action-result-scaffold-021;source-pipeline-phase-action-result-scaffold-022;source-pipeline-phase-action-result-scaffold-023,source-pipeline-phase-action-018;source-pipeline-phase-action-019;source-pipeline-phase-action-020;source-pipeline-phase-action-021;source-pipeline-phase-action-022;source-pipeline-phase-action-023,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-016,source-pipeline-phase-action-evidence-presence-080,src-metmuseum-oracle-bone,museum_collection,public_domain_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,linked;unpacked;verified,large_source_register,project_registry/006_large-source-register/001_large-source-register.csv,source_package_id_via_package_manifest,no_source_matched_rows_in_review_file,review_large_source_register_applicability_or_mark_not_applicable,large_source_register_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-024;source-pipeline-phase-action-route-025;source-pipeline-phase-action-route-026,source-pipeline-phase-action-result-scaffold-024;source-pipeline-phase-action-result-scaffold-025;source-pipeline-phase-action-result-scaffold-026,source-pipeline-phase-action-024;source-pipeline-phase-action-025;source-pipeline-phase-action-026,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-017,source-pipeline-phase-action-evidence-presence-078,src-metmuseum-oracle-bone,museum_collection,public_domain_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,linked;unpacked;verified,source_package_file_manifest,corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,source_id,no_source_matched_rows_in_review_file,review_package_manifest_applicability_or_create_row,package_manifest_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-024;source-pipeline-phase-action-route-025;source-pipeline-phase-action-route-026,source-pipeline-phase-action-result-scaffold-024;source-pipeline-phase-action-result-scaffold-025;source-pipeline-phase-action-result-scaffold-026,source-pipeline-phase-action-024;source-pipeline-phase-action-025;source-pipeline-phase-action-026,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-018,source-pipeline-phase-action-evidence-presence-090,src-nlc-oracle-world,library_database,metadata_only_until_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,linked;unpacked;verified,large_source_register,project_registry/006_large-source-register/001_large-source-register.csv,source_package_id_via_package_manifest,no_source_matched_rows_in_review_file,review_large_source_register_applicability_or_mark_not_applicable,large_source_register_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-027;source-pipeline-phase-action-route-028;source-pipeline-phase-action-route-029,source-pipeline-phase-action-result-scaffold-027;source-pipeline-phase-action-result-scaffold-028;source-pipeline-phase-action-result-scaffold-029,source-pipeline-phase-action-027;source-pipeline-phase-action-028;source-pipeline-phase-action-029,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-019,source-pipeline-phase-action-evidence-presence-088,src-nlc-oracle-world,library_database,metadata_only_until_verified,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,linked;unpacked;verified,source_package_file_manifest,corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,source_id,no_source_matched_rows_in_review_file,review_package_manifest_applicability_or_create_row,package_manifest_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-027;source-pipeline-phase-action-route-028;source-pipeline-phase-action-route-029,source-pipeline-phase-action-result-scaffold-027;source-pipeline-phase-action-result-scaffold-028;source-pipeline-phase-action-result-scaffold-029,source-pipeline-phase-action-027;source-pipeline-phase-action-028;source-pipeline-phase-action-029,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-020,source-pipeline-phase-action-evidence-presence-099,src-obid-ancientbooks,online_database,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,cleaned;extracted;linked;structured;unpacked;verified,downloaded_metadata_profile,corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,source_id,no_source_matched_rows_in_review_file,review_downloaded_metadata_profile_or_mark_not_applicable,metadata_profile_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-030;source-pipeline-phase-action-route-031;source-pipeline-phase-action-route-032;source-pipeline-phase-action-route-033;source-pipeline-phase-action-route-034;source-pipeline-phase-action-route-035,source-pipeline-phase-action-result-scaffold-030;source-pipeline-phase-action-result-scaffold-031;source-pipeline-phase-action-result-scaffold-032;source-pipeline-phase-action-result-scaffold-033;source-pipeline-phase-action-result-scaffold-034;source-pipeline-phase-action-result-scaffold-035,source-pipeline-phase-action-030;source-pipeline-phase-action-031;source-pipeline-phase-action-032;source-pipeline-phase-action-033;source-pipeline-phase-action-034;source-pipeline-phase-action-035,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-021,source-pipeline-phase-action-evidence-presence-100,src-obid-ancientbooks,online_database,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,cleaned;extracted;linked;structured;unpacked;verified,large_source_register,project_registry/006_large-source-register/001_large-source-register.csv,source_package_id_via_package_manifest,no_source_matched_rows_in_review_file,review_large_source_register_applicability_or_mark_not_applicable,large_source_register_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-030;source-pipeline-phase-action-route-031;source-pipeline-phase-action-route-032;source-pipeline-phase-action-route-033;source-pipeline-phase-action-route-034;source-pipeline-phase-action-route-035,source-pipeline-phase-action-result-scaffold-030;source-pipeline-phase-action-result-scaffold-031;source-pipeline-phase-action-result-scaffold-032;source-pipeline-phase-action-result-scaffold-033;source-pipeline-phase-action-result-scaffold-034;source-pipeline-phase-action-result-scaffold-035,source-pipeline-phase-action-030;source-pipeline-phase-action-031;source-pipeline-phase-action-032;source-pipeline-phase-action-033;source-pipeline-phase-action-034;source-pipeline-phase-action-035,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-022,source-pipeline-phase-action-evidence-presence-098,src-obid-ancientbooks,online_database,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,cleaned;extracted;linked;structured;unpacked;verified,source_package_file_manifest,corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,source_id,no_source_matched_rows_in_review_file,review_package_manifest_applicability_or_create_row,package_manifest_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-030;source-pipeline-phase-action-route-031;source-pipeline-phase-action-route-032;source-pipeline-phase-action-route-033;source-pipeline-phase-action-route-034;source-pipeline-phase-action-route-035,source-pipeline-phase-action-result-scaffold-030;source-pipeline-phase-action-result-scaffold-031;source-pipeline-phase-action-result-scaffold-032;source-pipeline-phase-action-result-scaffold-033;source-pipeline-phase-action-result-scaffold-034;source-pipeline-phase-action-result-scaffold-035,source-pipeline-phase-action-030;source-pipeline-phase-action-031;source-pipeline-phase-action-032;source-pipeline-phase-action-033;source-pipeline-phase-action-034;source-pipeline-phase-action-035,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-023,source-pipeline-phase-action-evidence-presence-120,src-open-oracle,project_repository,source_marked_risk_noted,needs_field_map_review,field_map_semantics_review,linked;unpacked;verified,large_source_register,project_registry/006_large-source-register/001_large-source-register.csv,source_package_id_via_package_manifest,no_source_matched_rows_in_review_file,review_large_source_register_applicability_or_mark_not_applicable,large_source_register_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-037;source-pipeline-phase-action-route-038;source-pipeline-phase-action-route-039,source-pipeline-phase-action-result-scaffold-037;source-pipeline-phase-action-result-scaffold-038;source-pipeline-phase-action-result-scaffold-039,source-pipeline-phase-action-037;source-pipeline-phase-action-038;source-pipeline-phase-action-039,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-024,source-pipeline-phase-action-evidence-presence-117,src-open-oracle,project_repository,source_marked_risk_noted,needs_field_map_review,field_map_semantics_review,linked;unpacked;verified,source_field_map,corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv,source_id,no_source_matched_rows_in_review_file,review_or_create_source_field_map_row,field_map_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-037;source-pipeline-phase-action-route-038;source-pipeline-phase-action-route-039,source-pipeline-phase-action-result-scaffold-037;source-pipeline-phase-action-result-scaffold-038;source-pipeline-phase-action-result-scaffold-039,source-pipeline-phase-action-037;source-pipeline-phase-action-038;source-pipeline-phase-action-039,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-025,source-pipeline-phase-action-evidence-presence-118,src-open-oracle,project_repository,source_marked_risk_noted,needs_field_map_review,field_map_semantics_review,linked;unpacked;verified,source_package_file_manifest,corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,source_id,no_source_matched_rows_in_review_file,review_package_manifest_applicability_or_create_row,package_manifest_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-037;source-pipeline-phase-action-route-038;source-pipeline-phase-action-route-039,source-pipeline-phase-action-result-scaffold-037;source-pipeline-phase-action-result-scaffold-038;source-pipeline-phase-action-result-scaffold-039,source-pipeline-phase-action-037;source-pipeline-phase-action-038;source-pipeline-phase-action-039,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-026,source-pipeline-phase-action-evidence-presence-130,src-oracle-mnist,open_research_dataset,source_marked_risk_noted,needs_field_map_review,field_map_semantics_review,linked;unpacked;verified,large_source_register,project_registry/006_large-source-register/001_large-source-register.csv,source_package_id_via_package_manifest,no_source_matched_rows_in_review_file,review_large_source_register_applicability_or_mark_not_applicable,large_source_register_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-040;source-pipeline-phase-action-route-041;source-pipeline-phase-action-route-042,source-pipeline-phase-action-result-scaffold-040;source-pipeline-phase-action-result-scaffold-041;source-pipeline-phase-action-result-scaffold-042,source-pipeline-phase-action-040;source-pipeline-phase-action-041;source-pipeline-phase-action-042,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-027,source-pipeline-phase-action-evidence-presence-127,src-oracle-mnist,open_research_dataset,source_marked_risk_noted,needs_field_map_review,field_map_semantics_review,linked;unpacked;verified,source_field_map,corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv,source_id,no_source_matched_rows_in_review_file,review_or_create_source_field_map_row,field_map_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-040;source-pipeline-phase-action-route-041;source-pipeline-phase-action-route-042,source-pipeline-phase-action-result-scaffold-040;source-pipeline-phase-action-result-scaffold-041;source-pipeline-phase-action-result-scaffold-042,source-pipeline-phase-action-040;source-pipeline-phase-action-041;source-pipeline-phase-action-042,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-028,source-pipeline-phase-action-evidence-presence-128,src-oracle-mnist,open_research_dataset,source_marked_risk_noted,needs_field_map_review,field_map_semantics_review,linked;unpacked;verified,source_package_file_manifest,corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,source_id,no_source_matched_rows_in_review_file,review_package_manifest_applicability_or_create_row,package_manifest_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-040;source-pipeline-phase-action-route-041;source-pipeline-phase-action-route-042,source-pipeline-phase-action-result-scaffold-040;source-pipeline-phase-action-result-scaffold-041;source-pipeline-phase-action-result-scaffold-042,source-pipeline-phase-action-040;source-pipeline-phase-action-041;source-pipeline-phase-action-042,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
